"15761122","Science",1482,"2005 Apr 15"
"16252231","Am J Hum Genet",177,"2005 Nov"
"16648850","Nat Genet",222,"2006 Jun"
"17052657","Lancet Neurol",147,"2006 Nov"
"17053108","Science",318,"2006 Nov 10"
"17068223","Science",961,"2006 Dec 1"
"17158188","Hum Mol Genet",330,"2007 Jan 1"
"17293876","Nature",1056,"2007 Feb 22"
"17362836","Lancet Neurol",75,"2007 Apr"
"17395743","Diabetes",77,"2007 Apr"
"17401363","Nat Genet",563,"2007 May"
"17401366","Nat Genet",408,"2007 May"
"17434096","Lancet Neurol",70,"2007 May"
"17434869","Science",1511,"2007 May 11"
"17435756","Nat Genet",683,"2007 May"
"17447842","PLoS Genet",193,"2007 Apr 20"
"17460697","Nat Genet",394,"2007 Jun"
"17463246","Science",1203,"2007 Jun 1"
"17463248","Science",1145,"2007 Jun 1"
"17463249","Science",928,"2007 Jun 1"
"17474819","J Clin Psychiatry",202,"2007 Apr"
"17478679","Science",604,"2007 Jun 8"
"17486107","Mol Psychiatry",255,"2008 Feb"
"17522711","Mol Psychiatry",96,"2007 Jun"
"17529967","Nature",963,"2007 Jun 28"
"17529973","Nat Genet",762,"2007 Jul"
"17529974","Nat Genet",357,"2007 Jul"
"17553421","Neuron",195,"2007 Jun 7"
"17554260","Nat Genet",586,"2007 Jul"
"17554261","Nat Genet",427,"2007 Jul"
"17554300","Nature",3875,"2007 Jun 7"
"17558408","Nat Genet",224,"2007 Jul"
"17603472","Nature",341,"2007 Jul 19"
"17603485","Nat Genet",344,"2007 Aug"
"17611496","Nature",579,"2007 Jul 26"
"17618283","Nat Genet",338,"2007 Aug"
"17618284","Nat Genet",382,"2007 Aug"
"17632509","Nat Genet",77,"2007 Aug"
"17632545","Nature",221,"2007 Aug 2"
"17634447","N Engl J Med",150,"2007 Aug 16"
"17634449","N Engl J Med",750,"2007 Aug 2"
"17637780","Nat Genet",173,"2007 Aug"
"17653210","Kidney Int Suppl",19,"2007 Aug"
"17658951","PLoS Genet",629,"2007 Jul"
"17660530","N Engl J Med",589,"2007 Aug 30"
"17667963","Mol Psychiatry",52,"2008 Mar"
"17668382","Am J Hum Genet",72,"2007 Aug"
"17684544","PLoS One",40,"2007 Aug 8"
"17690259","Science",264,"2007 Sep 7"
"17767157","Nat Genet",158,"2007 Oct"
"17767159","Nat Genet",205,"2007 Oct"
"17804789","Proc Natl Acad Sci U S A",64,"2007 Sep 11"
"17804836","N Engl J Med",340,"2007 Sep 20"
"17827064","Lancet Neurol",66,"2007 Oct"
"17903292","BMC Med Genet",46,"2007 Sep 19"
"17903293","BMC Med Genet",55,"2007 Sep 19"
"17903294","BMC Med Genet",35,"2007 Sep 19"
"17903295","BMC Med Genet",93,"2007 Sep 19"
"17903296","BMC Med Genet",98,"2007 Sep 19"
"17903297","BMC Med Genet",104,"2007 Sep 19"
"17903298","BMC Med Genet",43,"2007 Sep 19"
"17903300","BMC Med Genet",75,"2007 Sep 19"
"17903301","BMC Med Genet",52,"2007 Sep 19"
"17903302","BMC Med Genet",116,"2007 Sep 19"
"17903303","BMC Med Genet",68,"2007 Sep 19"
"17903304","BMC Med Genet",92,"2007 Sep 19"
"17903305","BMC Med Genet",57,"2007 Sep 19"
"17903306","BMC Med Genet",42,"2007 Sep 19"
"17903307","BMC Med Genet",41,"2007 Sep 19"
"17903308","BMC Med Genet",93,"2007 Sep 19"
"17934461","Nat Genet",252,"2007 Nov"
"17952075","Nat Genet",247,"2007 Dec"
"17975299","Neurodegener Dis",36,"2008"
"17982456","Nat Genet",238,"2007 Dec"
"17997608","PLoS Genet",119,"2007 Nov"
"17998437","Arch Neurol",203,"2008 Jan"
"17999355","Am J Hum Genet",101,"2007 Dec"
"18057069","Hum Mol Genet",84,"2008 Mar 1"
"18075462","Pharmacogenet Genomics",5,"2007 Nov"
"18084291","Nat Genet",89,"2008 Jan"
"18159244","PLoS One",202,"2007 Dec 26"
"18179892","Am J Hum Genet",197,"2008 Jan"
"18193043","Nat Genet",747,"2008 Feb"
"18193044","Nat Genet",616,"2008 Feb"
"18193045","Nat Genet",171,"2008 Feb"
"18193046","Nat Genet",143,"2008 Feb"
"18198356","Diabetes",60,"2008 Apr"
"18204098","N Engl J Med",327,"2008 Feb 28"
"18204446","Nat Genet",525,"2008 Feb"
"18204447","Nat Genet",177,"2008 Feb"
"18239089","Science",102,"2008 Mar 7"
"18245381","Proc Natl Acad Sci U S A",244,"2008 Feb 5"
"18252221","Am J Hum Genet",73,"2008 Feb"
"18262040","Lancet",156,"2008 Feb 9"
"18264096","Nat Genet",472,"2008 Mar"
"18264097","Nat Genet",438,"2008 Mar"
"18264098","Nat Genet",204,"2008 Mar"
"18282107","PLoS Genet",120,"2008 Feb"
"18311140","Nat Genet",253,"2008 Apr"
"18326623","Proc Natl Acad Sci U S A",157,"2008 Mar 18"
"18327256","Nat Genet",165,"2008 Apr"
"18327257","Nat Genet",264,"2008 Apr"
"18332876","Mol Psychiatry",48,"2009 Aug"
"18347602","Mol Psychiatry",154,"2008 Jun"
"18364390","Hum Mol Genet",66,"2008 Jul 1"
"18369459","PLoS Genet",215,"2008 Mar 28"
"18372901","Nat Genet",296,"2008 May"
"18372903","Nat Genet",862,"2008 May"
"18372905","Nat Genet",283,"2008 May"
"18385676","Nat Genet",622,"2008 May"
"18385738","Nature",575,"2008 Apr 3"
"18385739","Nature",720,"2008 Apr 3"
"18391950","Nat Genet",268,"2008 May"
"18391951","Nat Genet",282,"2008 May"
"18391952","Nat Genet",341,"2008 May"
"18403759","N Engl J Med",205,"2008 Apr 17"
"18439548","Am J Hum Genet",143,"2008 May"
"18439552","Am J Hum Genet",83,"2008 May"
"18445777","N Engl J Med",235,"2008 May 29"
"18451265","Science",112,"2008 May 23"
"18454146","Nat Genet",201,"2008 Jun"
"18454148","Nat Genet",498,"2008 Jun"
"18455228","Lancet",228,"2008 May 3"
"18463370","N Engl J Med",137,"2008 Jun 12"
"18463975","Breast Cancer Res Treat",11,"2009 Apr"
"18464913","PLoS Genet",208,"2008 May 9"
"18471798","Am J Hum Genet",34,"2008 Jun"
"18483556","PLoS Genet",193,"2008 May 16"
"18488026","Nat Genet",101,"2008 Jul"
"18488028","Nat Genet",132,"2008 Jul"
"18514160","Am J Hum Genet",49,"2008 Jun"
"18521091","Mol Psychiatry",28,"2009 Nov"
"18521185","J Clin Invest",82,"2008 Jul"
"18535201","Blood",165,"2008 Aug 15"
"18576341","Arthritis Rheum",19,"2008 Jul"
"18587394","Nat Genet",1024,"2008 Aug"
"18591461","Hypertension",52,"2008 Aug"
"18594024","Blood",39,"2008 Oct 1"
"18604267","PLoS Genet",134,"2008 Jul 4"
"18615156","Mol Med",71,"2008 Sep-Oct"
"18650507","N Engl J Med",505,"2008 Aug 21"
"18660810","Nat Genet",76,"2008 Aug"
"18668548","Arthritis Rheum",40,"2008 Aug"
"18677311","Nat Genet",404,"2008 Sep"
"18711365","Nat Genet",482,"2008 Sep"
"18711366","Nat Genet",293,"2008 Sep"
"18711367","Nat Genet",309,"2008 Sep"
"18723019","Gastroenterology",25,"2008 Oct"
"18758461","Nat Genet",157,"2008 Oct"
"18758464","Nat Genet",124,"2008 Oct"
"18759275","Arthritis Rheum",35,"2008 Sep"
"18762592","Arch Gen Psychiatry",42,"2008 Sep"
"18776911","Nat Genet",65,"2008 Oct"
"18776929","PLoS One",33,"2008 Sep 8"
"18780872","J Natl Cancer Inst",75,"2008 Sep 17"
"18794853","Nat Genet",209,"2008 Oct"
"18794855","Nat Genet",178,"2008 Nov"
"18802019","Arterioscler Thromb Vasc Biol",59,"2008 Nov"
"18820697","Nat Genet",46,"2008 Nov"
"18821564","Am J Med Genet B Neuropsychiatr Genet",32,"2008 Dec 5"
"18821565","Am J Med Genet B Neuropsychiatr Genet",139,"2008 Dec 5"
"18823527","BMC Med Genomics",77,"2008 Sep 29"
"18834626","Lancet",246,"2008 Dec 6"
"18835860","J Med Genet",99,"2008 Oct"
"18836448","Nat Genet",205,"2008 Nov"
"18839057","J Neural Transm (Vienna)",152,"2008 Nov"
"18840781","Diabetes",56,"2009 Jan"
"18846228","PLoS Genet",95,"2008 Aug"
"18846501","Am J Med Genet B Neuropsychiatr Genet",34,"2008 Dec 5"
"18849991","Nat Genet",25,"2008 Nov"
"18849993","Nat Genet",52,"2008 Nov"
"18849994","Nat Genet",23,"2008 Nov"
"18937294","Am J Med Genet B Neuropsychiatr Genet",42,"2008 Dec 5"
"18940312","Am J Hum Genet",169,"2008 Oct"
"18941528","PLoS One",45,"2008"
"18951430","Am J Med Genet B Neuropsychiatr Genet",45,"2008 Dec 5"
"18952825","Hum Mol Genet",52,"2009 Jan 15"
"18957941","Mol Psychiatry",85,"2010 Jun"
"18976728","Am J Hum Genet",201,"2008 Nov"
"18978787","Nat Genet",261,"2008 Dec"
"18978790","Nat Genet",273,"2008 Dec"
"18978792","Nat Genet",223,"2008 Dec"
"18985386","Hum Genet",201,"2009 Jan"
"18987618","Eur J Hum Genet",19,"2009 Feb"
"18991354","Ann Neurol",106,"2008 Oct"
"18997785","Nat Genet",62,"2008 Dec"
"18997786","Nat Genet",84,"2008 Dec"
"19010793","Hum Mol Genet",171,"2009 Feb 15"
"19011631","Nat Genet",274,"2008 Dec"
"19023125","Schizophr Bull",108,"2009 Jan"
"19030899","Hum Genet",23,"2009 Feb"
"19043545","PLoS Genet",262,"2008 Nov"
"19056611","Diabetes",56,"2009 Feb"
"19060906","Nat Genet",602,"2009 Jan"
"19060907","Nat Genet",312,"2009 Jan"
"19060909","Nat Genet",227,"2009 Jan"
"19060910","Nat Genet",353,"2009 Jan"
"19060911","Nat Genet",414,"2009 Jan"
"19074352","Science",250,"2008 Dec 12"
"19079260","Nat Genet",561,"2009 Jan"
"19079261","Nat Genet",753,"2009 Jan"
"19079262","Nat Genet",133,"2009 Jan"
"19081515","Lancet Neurol",59,"2009 Jan"
"19084217","Am J Hum Genet",69,"2009 Jan"
"19096518","PLoS Genet",50,"2008 Dec"
"19107115","Mol Psychiatry",95,"2010 Jun"
"19110211","Am J Hum Genet",45,"2009 Jan"
"19114657","Proc Natl Acad Sci U S A",125,"2009 Jan 6"
"19115949","J Infect Dis",123,"2009 Feb 1"
"19116933","Arthritis Rheum",28,"2009 Jan"
"19117981","Cancer Res",67,"2009 Jan 1"
"19118814","Am J Hum Genet",110,"2009 Jan"
"19122664","Nat Genet",158,"2009 Feb"
"19124843","J Lipid Res",52,"2009 May"
"19125160","Mol Psychiatry",60,"2010 Jul"
"19132087","PLoS Genet",98,"2009 Jan"
"19136949","Nat Genet",128,"2009 Feb"
"19151714","Nat Genet",281,"2009 Feb"
"19151717","Nat Genet",285,"2009 Feb"
"19165155","Obesity (Silver Spring)",76,"2009 Apr"
"19165232","J Hum Genet",37,"2009 Feb"
"19165918","Nat Genet",242,"2008 Sep"
"19169254","Nat Genet",464,"2009 Feb"
"19169255","Nat Genet",127,"2009 Feb"
"19176441","JAMA",88,"2009 Jan 28"
"19182806","Nat Genet",62,"2009 Mar"
"19185284","Am J Hum Genet",96,"2009 Feb"
"19187332","Clin Exp Allergy",45,"2009 Feb"
"19196962","Proc Natl Acad Sci U S A",73,"2009 Feb 24"
"19197348","PLoS Genet",47,"2009 Feb"
"19198609","Nat Genet",494,"2009 Mar"
"19198610","Nat Genet",293,"2009 Mar"
"19198611","Nat Genet",165,"2009 Mar"
"19198612","Nat Genet",181,"2009 Mar"
"19198613","Nat Genet",149,"2009 Apr"
"19207018","Pharmacogenomics",20,"2009 Feb"
"19219042","Nat Genet",292,"2009 Mar"
"19221038","Blood",52,"2009 Apr 16"
"19230858","Am J Hum Genet",21,"2009 Mar"
"19247474","PLoS One",134,"2009"
"19249006","Am J Hum Genet",92,"2009 Mar"
"19260139","Croat Med J",16,"2009 Feb"
"19260141","Croat Med J",30,"2009 Feb"
"19268274","Am J Hum Genet",44,"2009 Mar"
"19270707","Nat Genet",171,"2009 Apr"
"19278955","Blood",106,"2009 May 21"
"19287384","Nat Genet",121,"2009 Apr"
"19287509","Mol Med",9,"2009 May-Jun"
"19300482","PLoS Genet",328,"2009 Mar"
"19300499","PLoS Genet",224,"2009 Mar"
"19300500","PLoS Genet",162,"2009 Mar"
"19303062","Am J Hum Genet",95,"2009 Apr"
"19304780","Hum Mol Genet",71,"2009 Jun 15"
"19305408","Nat Genet",193,"2009 Apr"
"19305409","Nat Genet",166,"2009 Apr"
"19330027","Nat Genet",256,"2009 May"
"19330030","Nat Genet",306,"2009 May"
"19340012","J Invest Dermatol",64,"2009 Sep"
"19343178","PLoS Genet",120,"2009 Apr"
"19349983","Nat Genet",199,"2009 May"
